Timestamp,User,Overall Load Time (ms),TTFB (ms)
20/04/2025 00:30,1,21,1
20/04/2025 00:47,4,24,1
20/04/2025 00:49,9,22,2
20/04/2025 00:52,16,20,2
20/04/2025 00:56,25,20,2
20/04/2025 01:00,36,19,1
20/04/2025 01:01,49,20,1
20/04/2025 01:03,64,20,2
20/04/2025 01:04,81,24,1
20/04/2025 01:06,100,20,1
20/04/2025 01:07,121,19,2
20/04/2025 01:08,144,21,2
20/04/2025 01:10,169,18,1
20/04/2025 01:11,196,20,1
20/04/2025 01:13,225,18,1
20/04/2025 01:22,256,18,1
20/04/2025 01:35,289,24,1
20/04/2025 01:37,324,21,2
20/04/2025 01:39,361,28,2
20/04/2025 01:41,400,19,1
20/04/2025 01:43,441,22,1
20/04/2025 01:45,484,19,2
20/04/2025 01:48,529,19,1
20/04/2025 01:51,576,19,1
20/04/2025 01:53,625,21,2
20/04/2025 01:55,676,20,1
20/04/2025 01:58,729,21,1
20/04/2025 02:02,784,19,1
20/04/2025 02:05,841,21,2
20/04/2025 02:07,900,23,3
20/04/2025 02:09,961,20,1
20/04/2025 02:12,1024,22,1
20/04/2025 02:13,1089,20,1
20/04/2025 02:15,1156,18,2
20/04/2025 02:18,1225,19,1
20/04/2025 02:22,1296,18,1
20/04/2025 02:25,1369,20,1
20/04/2025 02:36,1444,19,1
20/04/2025 02:38,1521,21,2
20/04/2025 02:40,1600,18,1
20/04/2025 02:41,1681,19,1
20/04/2025 02:50,1764,20,1
20/04/2025 02:51,1849,19,1
20/04/2025 02:53,1936,19,1
20/04/2025 02:55,2025,19,1
20/04/2025 02:56,2116,19,1
20/04/2025 02:57,2209,21,1
20/04/2025 02:59,2304,19,1
20/04/2025 03:00,2401,21,1
20/04/2025 03:02,2500,18,1
